#スキル系統,最小,最大
気絶,-10,13
聴覚保護,-3,3
風圧,-10,3
攻撃,-10,10
防御,-10,10
体力,-10,13
火耐性,-10,13
水耐性,-10,13
雷耐性,-10,13
氷耐性,-10,13
龍耐性,-10,13
属性耐性,-3,3
火属性攻撃,-10,13
水属性攻撃,-10,13
雷属性攻撃,-10,13
氷属性攻撃,-10,13
龍属性攻撃,-10,13
特殊攻撃,-10,4
研ぎ師,-10,8
匠,-5,5
斬れ味,-3,3
剣術,-3,3
研磨術,-3,3
抜刀会心,-3,3
抜刀減気,-5,8
納刀,-10,4
納刀研磨,-3,3
装填速度,-3,4
反動,-3,3
通常弾強化,-3,3
貫通弾強化,-3,3
散弾強化,-3,3
重撃弾強化,-3,3
速射,-3,3
射法,-5,5
装填数,-3,3
弾薬節約,-5,5
達人,-10,10
痛撃,-3,3
連撃,-3,3
会心強化,-3,3
溜め短縮,-3,3
スタミナ,-3,3
体術,-3,4
気力回復,-3,4
走行継続,-5,5
回避性能,-3,4
回避距離,-3,4
泡沫,-3,3
ガード性能,-3,4
ガード強化,-3,4
KO,-3,4
減気攻撃,-3,4
笛,-10,10
砲術,-10,10
重撃,-3,3
爆弾強化,-10,10
本気,-3,4
闘魂,-3,3
無傷,-3,3
チャンス,-3,3
底力,-3,4
逆上,-5,5
窮地,-5,5
根性,-3,3
采配,-10,10
号令,-10,10
乗り,-5,5
跳躍,-5,5
無心,-3,3
我慢,-5,5
ＳＰ延長,-3,3
千里眼,-10,12
加護,-10,9
英雄の盾,-3,3
回復量,-3,4
回復速度,-10,12
広域,-10,12
腹減り,-10,10
食事,-3,3
節食,-5,5
肉食,-5,5
茸食,-3,3
護石王,-8,10
運気,-3,3
剥ぎ取り,-3,3
捕獲,-3,3
紅兜,-3,3
大雪主,-3,3
矛砕,-3,3
岩穿,-3,3
紫毒姫,-3,3
宝纏,-3,3
白疾風,-3,3
隻眼,-3,3
黒炎王,-3,3
金雷公,-3,3
荒鉤爪,-3,3
燼滅刃,-3,3
朧隠,-3,3
鎧裂,-3,3
天眼,-3,3
青電主,-3,3
銀嶺,-3,3
鏖魔,-3,3
