#スキル系統,最小,最大
聴覚保護,3,7
風圧,5,10
寒冷適応,3,7
炎熱適応,3,7
狂撃耐性,3,7
細菌学,5,10
属性耐性,3,7
属性攻撃,3,7
特殊攻撃,3,7
斬れ味,3,7
剣術,3,7
研磨術,1,5
鈍器,2,6
抜刀会心,1,5
抜刀減気,1,5
納刀,5,10
納刀研磨,5,10
装填速度,3,7
反動,2,6
通常弾強化,2,6
貫通弾強化,2,6
散弾強化,2,6
重撃弾強化,2,6
速射,1,5
射法,1,5
装填数,1,5
弾薬節約,3,7
痛撃,2,6
連撃,1,5
特殊会心,2,6
属性会心,2,6
溜め短縮,2,6
スタミナ,2,6
体術,3,7
気力回復,3,7
走行継続,2,6
回避性能,2,6
回避距離,2,6
泡沫,1,5
ガード性能,3,7
ガード強化,3,7
KO,5,10
減気攻撃,5,10
重撃,2,6
本気,2,6
闘魂,1,5
無傷,1,5
チャンス,1,5
底力,2,6
逆上,2,6
窮地,2,6
根性,1,5
跳躍,2,6
無心,1,5
我慢,3,7
ＳＰ延長,3,7
加護,3,7
英雄の盾,1,5
回復量,3,7
食事,2,6
節食,3,7
護石王,3,7
