スキル系統,最小,最大
聴覚保護,-3,5
風圧,-5,7
攻撃,-7,10
防御,-5,13
属性耐性,-5,7
火属性攻撃,-5,13
水属性攻撃,-5,13
雷属性攻撃,-5,13
氷属性攻撃,-5,13
龍属性攻撃,-5,13
特殊攻撃,-5,7
研ぎ師,-7,10
匠,-3,5
斬れ味,-5,7
剣術,-5,7
研磨術,-3,5
抜刀会心,-5,5
抜刀減気,-2,8
納刀,-5,7
刃鱗,-3,3
装填速度,-5,7
反動,-5,7
通常弾強化,-3,5
貫通弾強化,-3,5
散弾強化,-3,5
重撃弾強化,-3,5
速射,-3,5
射法,-3,5
装填数,-3,5
弾薬節約,-5,7
達人,-7,10
痛撃,-3,5
連撃,-1,3
会心強化,-3,5
裏会心,-3,3
溜め短縮,-3,5
スタミナ,-3,5
体術,-3,5
気力回復,-3,5
走行継続,-3,5
回避性能,-3,5
回避距離,-3,5
泡沫,-1,3
ガード性能,-3,5
ガード強化,-3,5
KO,-7,10
減気攻撃,-7,10
笛,-5,10
砲術,-5,10
重撃,-3,5
爆弾強化,-5,10
本気,-3,5
闘魂,-1,3
無傷,-1,3
チャンス,-1,3
龍気,-3,3
底力,-3,5
逆上,-3,5
窮地,-3,5
根性,-1,3
乗り,-7,10
跳躍,-3,5
無心,-1,3
我慢,-5,7
ＳＰ延長,-5,7
加護,-7,10
英雄の盾,-1,3
回復量,-3,5
広域,-5,12
食事,-3,5
節食,-5,7
茸食,-3,5
護石王,-7,10
運気,-5,7
剥ぎ取り,-3,5
捕獲,-5,7
真・紅兜,-3,3
真・大雪主,-3,3
真・矛砕,-3,3
真・岩穿,-3,3
真・紫毒姫,-3,3
真・宝纏,-3,3
真・白疾風,-3,3
真・隻眼,-3,3
真・黒炎王,-3,3
真・金雷公,-3,3
真・荒鉤爪,-3,3
真・燼滅刃,-3,3
真・朧隠,-3,3
真・鎧裂,-3,3
真・天眼,-3,3
真・青電主,-3,3
真・銀嶺,-3,3
真・鏖魔,-3,3
