#スキル系統,最小,最大
毒,1,5
麻痺,1,5
睡眠,1,5
気絶,1,8
耐震,1,7
だるま,1,7
耐暑,1,10
耐寒,1,10
盗み無効,1,10
対防御DOWN,1,7
狂撃耐性,1,3
裂傷,1,5
攻撃,1,4
防御,1,4
体力,1,8
火耐性,1,6
水耐性,1,6
雷耐性,1,6
氷耐性,1,6
龍耐性,1,6
精密射撃,1,6
通常弾追加,1,8
貫通弾追加,1,8
散弾追加,1,8
榴弾追加,1,8
拡散弾追加,1,8
毒瓶追加,1,8
麻痺瓶追加,1,8
睡眠瓶追加,1,8
強撃瓶追加,1,8
属強瓶追加,1,8
接撃瓶追加,1,8
減気瓶追加,1,8
爆破瓶追加,1,8
変則射撃,1,5
達人,1,4
笛,1,6
砲術,1,6
爆弾強化,1,6
逆境,1,4
気配,1,8
采配,1,3
号令,1,3
乗り,1,10
千里眼,1,8
観察眼,1,8
狩人,1,8
運搬,1,8
効果持続,1,8
広域,1,8
腹減り,1,8
食いしん坊,1,10
野草知識,1,8
調合成功率,1,10
調合数,1,8
高速設置,1,8
採取,1,10
ハチミツ,1,8
気まぐれ,1,10
