#名前,"性別(0=両,1=男,2=女)","タイプ(0=両方,1=剣士,2=ガンナー)",レア度,スロット数,入手時期／集☆（99=集入手不可）,入手時期／村☆（99=村入手不可）,入手時期集村(0=or/1=and),初期防御力,最終防御力,火耐性,水耐性,雷耐性,氷耐性,龍耐性,スキル系統1,スキル値1,スキル系統2,スキル値2,スキル系統3,スキル値3,スキル系統4,スキル値4,スキル系統5,スキル値5,生産素材1,個数,生産素材2,個数,生産素材3,個数,生産素材4,個数
レザーグラブ,0,0,1,1,1,1,0,1,25,0,0,0,0,0,気まぐれ,3,,,,,,,,,暖かい毛皮,2,,,,,,
チェーングラブ,0,0,1,1,1,1,0,2,26,0,0,1,0,0,体力,2,,,,,,,,,鉄鉱石,1,砥石,2,,,,
ベルダーアーム,0,0,1,1,1,1,0,2,26,0,1,0,0,0,加護,2,,,,,,,,,暖かい毛皮,1,セッチャクロアリ,2,,,,
ハントアーム,0,1,1,0,99,2,0,2,50,1,0,0,0,0,千里眼,5,,,,,,,,,鉄鉱石,2,暖かい毛皮,1,,,,
ハントガード,0,2,1,0,99,2,0,1,25,2,0,0,0,0,千里眼,4,,,,,,,,,鉄鉱石,2,暖かい毛皮,1,,,,
マフモフミトン,0,0,1,2,99,2,0,2,26,-1,0,0,2,0,耐寒,2,,,,,,,,,暖かい毛皮,2,ガウシカの角,2,,,,
ユクモノコテ,0,0,1,1,99,2,0,2,26,0,0,1,0,0,達人,2,回避性能,1,,,,,,,ユクモの木,2,ツタの葉,1,,,,
ハンターアーム,0,1,1,1,1,1,0,6,54,0,0,0,0,0,高速設置,3,,,,,,,,,ファンゴの毛皮,1,大地の結晶,1,ツタの葉,3,,
ハンターガード,0,2,1,1,1,1,0,3,27,0,0,0,0,0,高速設置,2,,,,,,,,,ファンゴの毛皮,1,大地の結晶,1,ツタの葉,3,,
ボーンアーム,0,1,1,2,1,1,0,6,54,0,0,0,-1,0,KO,2,,,,,,,,,獣骨,3,とがった爪,2,マッカォの鱗,1,,
