#名前,"性別(0=両,1=男,2=女)","タイプ(0=両方,1=剣士,2=ガンナー)",レア度,スロット数,入手時期／集☆（99=集入手不可）,入手時期／村☆（99=村入手不可）,入手時期集村(0=or/1=and),初期防御力,最終防御力,火耐性,水耐性,雷耐性,氷耐性,龍耐性,スキル系統1,スキル値1,スキル系統2,スキル値2,スキル系統3,スキル値3,スキル系統4,スキル値4,スキル系統5,スキル値5,生産素材1,個数,生産素材2,個数,生産素材3,個数,生産素材4,個数
レザーベスト,0,0,1,0,1,1,0,1,25,0,0,0,0,0,気まぐれ,5,,,,,,,,,首鳴竜の皮,1,竜骨【小】,1,,,,
チェーンベスト,0,0,1,1,1,1,0,2,26,0,0,1,0,0,体力,3,,,,,,,,,鉄鉱石,2,暖かい毛皮,1,,,,
ベルダーメイル,0,0,1,1,1,1,0,2,26,0,1,0,0,0,加護,2,,,,,,,,,暖かい毛皮,1,鉄鉱石,2,,,,
ハントメイル,0,1,1,0,99,3,0,2,50,1,0,0,0,0,千里眼,2,,,,,,,,,鉄鉱石,2,イーオスの鱗,1,,,,
ハントレジスト,0,2,1,0,99,3,0,1,25,2,0,0,0,0,千里眼,2,,,,,,,,,鉄鉱石,2,イーオスの鱗,1,,,,
マフモフジャケット,0,0,1,0,99,2,0,2,26,-1,0,0,2,0,耐寒,6,,,,,,,,,暖かい毛皮,2,ブランゴの毛,1,,,,
ユクモノドウギ,0,0,1,0,99,2,0,2,26,0,0,1,0,0,達人,4,回避性能,2,,,,,,,ユクモの木,2,ツタの葉,2,,,,
ロックラックスーツ,0,0,1,1,1,1,0,2,26,1,0,0,0,2,運搬,3,耐暑,1,,,,,,,甲虫の腹袋,1,ジャギィの皮,3,大地の結晶,2,,
ハンターメイル,0,1,1,1,1,1,0,6,54,0,0,0,0,0,高速設置,2,,,,,,,,,ファンゴの毛皮,1,ジャギィの鱗,1,鉄鉱石,2,,
ハンターレジスト,0,2,1,1,1,1,0,3,27,0,0,0,0,0,高速設置,2,,,,,,,,,ファンゴの毛皮,1,ジャギィの鱗,1,鉄鉱石,2,,
ボーンメイル,0,1,1,0,1,1,0,6,54,0,0,0,-1,0,笛,4,KO,2,,,,,,,大きな骨,1,なぞの骨,2,マッカォの皮,1,,
ボーンレジスト,0,2,1,0,1,1,0,3,27,0,0,0,-1,0,笛,4,KO,2,,,,,,,大きな骨,1,なぞの骨,2,マッカォの皮,1,,
混沌のカイ,0,1,1,2,1,2,0,6,54,2,-2,0,0,0,特殊攻撃,2,,,,,,,,,混沌茸,1,マヒダケ,4,毒テングダケ,4,不死虫,3
混沌のイー,0,2,1,2,1,2,0,3,27,2,-2,0,0,0,特殊攻撃,1,,,,,,,,,混沌茸,1,マヒダケ,4,毒テングダケ,4,不死虫,3
ジャギィメイル,0,1,1,0,1,2,0,6,54,-2,0,0,0,0,攻撃,3,防御,-2,,,,,,,ジャギィの皮,4,鳥竜種の牙,3,キラビートル,2,鉄鉱石,3
ジャギィレジスト,0,2,1,0,1,2,0,3,27,-2,0,0,0,0,攻撃,3,防御,-2,,,,,,,ジャギィの皮,4,鳥竜種の牙,3,キラビートル,2,鉄鉱石,3
マッカォメイル,0,1,1,0,1,2,0,8,56,-2,0,0,0,0,跳躍,4,減気攻撃,1,,,,,,,跳狗竜の鱗,3,跳狗竜の赤皮,2,鉄鉱石,4,,
マッカォレジスト,0,2,1,0,1,2,0,4,28,-2,1,1,1,1,跳躍,4,減気攻撃,1,,,,,,,跳狗竜の鱗,3,跳狗竜の赤皮,2,鉄鉱石,4,,
ランポスメイル,0,1,1,0,1,2,0,8,56,0,0,0,-2,0,気絶,4,麻痺,-4,,,,,,,ランポスの大爪,2,鳴き袋,2,ランポスの皮,3,セッチャクロアリ,2
ランポスレジスト,0,2,1,0,1,2,0,4,28,0,1,1,-2,0,気絶,4,麻痺,-4,,,,,,,ランポスの大爪,2,鳴き袋,2,ランポスの皮,3,セッチャクロアリ,2
ギアノスメイル,0,1,1,0,1,2,0,8,56,0,0,-1,2,0,氷属性攻撃,5,,,,,,,,,ギアノスの皮,3,ギアノスの鱗,1,鉄鉱石,3,鳥竜種の牙,3
ギアノスレジスト,0,2,1,0,1,2,0,4,28,0,0,-1,3,0,氷属性攻撃,5,,,,,,,,,ギアノスの皮,3,ギアノスの鱗,1,鉄鉱石,3,鳥竜種の牙,3
ゲネポスメイル,0,1,1,0,1,2,0,10,58,0,0,1,-2,0,麻痺,3,雷属性攻撃,3,毒,-3,,,,,ゲネポスの皮,3,ゲネポスの鱗,2,鉄鉱石,3,ファンゴの毛皮,2
ゲネポスレジスト,0,2,1,0,1,2,0,5,29,1,0,2,-2,0,麻痺,3,雷属性攻撃,3,毒,-3,,,,,ゲネポスの皮,3,ゲネポスの鱗,2,鉄鉱石,3,ファンゴの毛皮,2
ランゴメイル,0,1,1,1,2,3,0,10,58,-2,1,1,1,2,納刀,2,,,,,,,,,ランゴスタの甲殻,5,マカライト鉱石,1,セッチャクロアリ,3,,
ランゴレジスト,0,2,1,1,2,3,0,5,29,-2,2,2,2,3,納刀,2,,,,,,,,,ランゴスタの甲殻,5,マカライト鉱石,1,セッチャクロアリ,3,,
タロスメイル,0,1,1,0,1,3,0,10,58,-1,-1,-1,-1,4,龍属性攻撃,4,龍耐性,1,,,,,,,カンタロスの羽,2,カンタロスの甲殻,4,円盤石,3,キラビートル,1
タロスレジスト,0,2,1,0,1,3,0,5,29,-1,-1,-1,-1,6,龍属性攻撃,4,龍耐性,1,,,,,,,カンタロスの羽,2,カンタロスの甲殻,4,円盤石,3,キラビートル,1
ブナハスーツ,0,1,1,1,1,2,0,10,58,-2,0,0,0,2,特殊攻撃,2,斬れ味,2,火耐性,-2,,,,,飛甲虫の甲殻,2,飛甲虫の羽,3,モンスターの体液,2,キラビートル,1
ブナハベスト,0,2,1,1,1,2,0,5,29,-2,1,1,1,3,特殊攻撃,2,弾薬節約,2,火耐性,-2,,,,,飛甲虫の甲殻,2,飛甲虫の羽,3,モンスターの体液,2,キラビートル,1
モスブレスト,0,0,1,1,1,2,0,5,29,0,0,0,0,0,食いしん坊,2,,,,,,,,,モスの苔皮,1,ファンゴの毛皮,2,大猪の皮,1,セッチャクロアリ,1
リノプロメイル,0,1,1,0,1,2,0,12,60,2,0,0,-2,0,水属性攻撃,3,砲術,1,,,,,,,草食竜の頭殻,1,草食竜の甲殻,2,大地の結晶,2,,
リノプロレジスト,0,2,1,0,1,2,0,6,30,3,0,0,-2,0,水属性攻撃,3,砲術,1,,,,,,,草食竜の頭殻,1,草食竜の甲殻,2,大地の結晶,2,,
ファンゴメイル,0,1,1,1,1,2,0,12,60,0,2,-2,1,0,底力,4,加護,-4,,,,,,,大猪の皮,4,大きな骨,3,マカライト鉱石,3,,
ファンゴレジスト,0,2,1,1,1,2,0,6,30,0,3,-2,1,0,底力,4,加護,-4,,,,,,,大猪の皮,4,大きな骨,3,マカライト鉱石,3,,
アシラメイル,0,1,1,0,2,2,0,14,62,-2,0,-2,0,0,防御,2,ハチミツ,2,攻撃,-2,,,,,青熊獣の毛,3,青熊獣の甲殻,1,飛甲虫の甲殻,2,キラビートル,2
アシラレジスト,0,2,1,0,2,2,0,7,31,-2,0,-2,0,0,防御,2,ハチミツ,2,攻撃,-2,,,,,青熊獣の毛,3,青熊獣の甲殻,1,飛甲虫の甲殻,2,キラビートル,2
ガレオスメイル,0,1,1,1,1,2,0,14,62,2,0,0,-3,0,水属性攻撃,4,,,,,,,,,砂竜のヒレ,2,砂竜の鱗,3,砂竜の牙,1,マカライト鉱石,1
ガレオスレジスト,0,2,1,1,1,2,0,7,31,2,0,0,-3,0,水属性攻撃,4,,,,,,,,,砂竜のヒレ,2,砂竜の鱗,3,砂竜の牙,1,マカライト鉱石,1
ブレイブベスト,0,0,2,1,99,4,0,8,33,0,0,0,0,0,乗り,3,,,,,,,,,ベルナチケット,1,ドラグライト鉱石,2,暖かい毛皮,1,ランポスの皮,2
アロイメイル,0,1,2,1,2,3,0,12,62,-1,0,-1,-1,0,研ぎ師,2,,,,,,,,,ライトクリスタル,1,マカライト鉱石,3,鉄鉱石,2,,
アロイレジスト,0,2,2,1,2,3,0,6,31,-1,0,-1,-1,0,装填速度,2,,,,,,,,,ライトクリスタル,1,マカライト鉱石,3,鉄鉱石,2,,
バトルメイル,0,1,2,2,3,4,0,12,62,1,-1,-1,0,0,ガード性能,2,,,,,,,,,翼蛇竜の皮,2,暖かい毛皮,2,ゲネポスの鱗,5,大地の結晶,3
バトルレジスト,0,2,2,2,3,4,0,6,31,2,-1,-1,0,0,反動,2,,,,,,,,,翼蛇竜の皮,2,暖かい毛皮,2,ゲネポスの鱗,5,大地の結晶,3
インゴットメイル,0,1,2,1,3,4,0,14,64,-1,-1,1,0,0,風圧,4,氷属性攻撃,1,運気,-2,,,,,ドラグライト鉱石,4,紅蓮石,1,鉄鉱石,8,ベアライト石,3
インゴットレジスト,0,2,2,1,3,4,0,7,32,-1,-1,2,0,0,風圧,4,氷属性攻撃,1,運気,-2,,,,,ドラグライト鉱石,4,紅蓮石,1,鉄鉱石,8,ベアライト石,3
ハイメタメイル,0,1,2,0,3,4,0,14,64,0,-1,2,-1,0,雷耐性,4,聴覚保護,1,,,,,,,ドラグライト鉱石,2,マカライト鉱石,4,鉄鉱石,3,マッカォの皮,2
ハイメタレジスト,0,2,2,0,3,4,0,7,32,0,-1,3,-1,0,雷耐性,4,聴覚保護,1,,,,,,,ドラグライト鉱石,2,マカライト鉱石,4,鉄鉱石,3,マッカォの皮,2
