#名前,レア度,スロット,入手時期／HR,入手時期／村☆,入手時期集村(0=or/1=and),スキル系統1,スキル値1,スキル系統2,スキル値2,生産素材A1,個数,生産素材A2,個数,生産素材A3,個数,生産素材A4,個数,生産素材B1,個数,生産素材B2,個数,生産素材B3,個数,生産素材B4,個数
耐毒珠【１】,4,1,2,3,0,毒,1,気絶,-1,水光原珠,1,イーオスの毒牙,2,,,,,,,,,,,,
耐毒珠【２】,5,2,2,3,0,毒,3,気絶,-1,陽翔原珠,1,イーオスの大皮,2,鳴き袋,2,,,修羅原珠,1,猛毒袋,1,,,,
耐麻珠【１】,4,1,1,2,0,麻痺,1,毒,-1,水光原珠,1,飛甲虫の甲殻,2,,,,,,,,,,,,
耐麻珠【２】,5,2,2,3,0,麻痺,3,毒,-1,陽翔原珠,1,ゲネポスの大牙,2,モンスターの体液,2,,,修羅原珠,1,ゲネポスの大尖牙,1,,,,
耐眠珠【１】,4,1,2,4,0,睡眠,1,だるま,-1,水光原珠,1,夜鳥の羽鱗,2,,,,,,,,,,,,
耐眠珠【２】,5,2,2,4,0,睡眠,3,だるま,-1,陽翔原珠,1,夜鳥の翼爪,1,暖かい毛皮,2,,,修羅原珠,1,夜鳥の金羽,1,,,,
耐絶珠【１】,4,1,1,2,0,気絶,1,麻痺,-1,水光原珠,1,鳥竜種の牙,3,,,,,,,,,,,,
制絶珠【１】,4,1,2,3,0,気絶,2,,,陽翔原珠,1,ランポスの大皮,1,青熊獣の毛,2,,,修羅原珠,1,ランポスの大上皮,2,,,,
防音珠【１】,4,1,2,4,0,聴覚保護,1,加護,-1,陽翔原珠,1,雌火竜の翼膜,1,白兎獣の耳,1,,,修羅原珠,1,轟竜の堅殻,2,,,,
防音珠【３】,6,3,8,99,0,聴覚保護,4,加護,-2,瑠璃原珠,1,霞龍の尖角,2,真珠色の柔皮,1,,,,,,,,,,
防風珠【１】,4,1,3,6,0,風圧,1,運気,-1,陽翔原珠,1,雷狼竜の爪,1,ドラグライト鉱石,2,,,,,,,,,,
