#名前,"性別(0=両,1=男,2=女)","タイプ(0=両方,1=剣士,2=ガンナー)",レア度,スロット数,入手時期／集☆（99=集入手不可）,入手時期／村☆（99=村入手不可）,入手時期集村(0=or/1=and),初期防御力,最終防御力,火耐性,水耐性,雷耐性,氷耐性,龍耐性,スキル系統1,スキル値1,スキル系統2,スキル値2,スキル系統3,スキル値3,スキル系統4,スキル値4,スキル系統5,スキル値5,生産素材1,個数,生産素材2,個数,生産素材3,個数,生産素材4,個数
レザーヘッド,0,0,1,1,1,1,0,1,25,0,0,0,0,0,気まぐれ,2,,,,,,,,,暖かい毛皮,1,鉄鉱石,1,,,,
チェーンヘッド,0,0,1,3,1,1,0,2,26,0,0,1,0,0,,,,,,,,,,,大地の結晶,1,鉄鉱石,1,,,,
ベルダーターバン,0,0,1,1,1,1,0,2,26,0,1,0,0,0,加護,3,,,,,,,,,暖かい毛皮,2,ツタの葉,2,,,,
ハントヘルム,0,0,1,1,99,2,0,2,50,1,0,0,0,0,千里眼,3,,,,,,,,,鉄鉱石,1,大地の結晶,2,,,,
ハントキャップ,0,0,1,1,99,2,0,1,25,2,0,0,0,0,千里眼,4,,,,,,,,,鉄鉱石,1,大地の結晶,2,,,,
マフモフフード,0,0,1,2,99,2,0,2,26,-1,0,0,2,0,耐寒,1,,,,,,,,,暖かい毛皮,2,ガウシカの角,2,,,,
ユクモノカサ,0,0,1,1,99,2,0,2,26,0,0,1,0,0,達人,2,,,,,,,,,ユクモの木,1,丸鳥の羽,1,,,,
ハンターヘルム,0,0,1,0,1,1,0,6,54,0,0,0,0,0,狩人,3,高速設置,2,,,,,,,ファンゴの毛皮,1,マカライト鉱石,1,鉄鉱石,3,,
ハンターキャップ,0,0,1,0,1,1,0,3,27,0,0,0,0,0,狩人,3,高速設置,3,,,,,,,ファンゴの毛皮,1,マカライト鉱石,1,鉄鉱石,3,,
ボーンヘルム,0,0,1,1,1,1,0,6,54,0,0,0,-1,0,KO,4,,,,,,,,,なぞの頭骨,1,とがった牙,2,ギアノスの鱗,1,,
ボーンキャップ,0,0,1,1,1,1,0,3,27,0,0,0,-1,0,KO,5,,,,,,,,,なぞの頭骨,1,とがった牙,2,ギアノスの鱗,1,,
混沌のパオ,0,0,1,1,1,2,0,6,54,2,-2,0,0,0,特殊攻撃,3,,,,,,,,,混沌茸,1,マヒダケ,4,毒テングダケ,4,不死虫,3
