#名前,"性別(0=両,1=男,2=女)","タイプ(0=両方,1=剣士,2=ガンナー)",レア度,スロット数,入手時期／集☆（99=集入手不可）,入手時期／村☆（99=村入手不可）,入手時期集村(0=or/1=and),初期防御力,最終防御力,火耐性,水耐性,雷耐性,氷耐性,龍耐性,スキル系統1,スキル値1,スキル系統2,スキル値2,スキル系統3,スキル値3,スキル系統4,スキル値4,スキル系統5,スキル値5,生産素材1,個数,生産素材2,個数,生産素材3,個数,生産素材4,個数
レザーベルト,0,0,1,2,1,1,0,1,25,0,0,0,0,0,採取,2,,,,,,,,,暖かい毛皮,1,鉄鉱石,1,,,,
チェーンベルト,0,0,1,1,1,1,0,2,26,0,0,1,0,0,野草知識,2,,,,,,,,,鉄鉱石,1,暖かい毛皮,2,,,,
ベルダーベルト,0,0,1,1,1,1,0,2,26,0,1,0,0,0,笛,6,,,,,,,,,暖かい毛皮,1,セッチャクロアリ,2,,,,
ハントフォールド,0,1,1,1,99,2,0,2,50,1,0,0,0,0,高速設置,3,,,,,,,,,鉄鉱石,1,暖かい毛皮,2,,,,
ハントコート,0,2,1,1,99,2,0,1,25,2,0,0,0,0,高速設置,3,,,,,,,,,鉄鉱石,1,暖かい毛皮,2,,,,
マフモフコート,0,0,1,1,99,2,0,2,26,-1,0,0,2,0,耐寒,2,,,,,,,,,暖かい毛皮,2,ギアノスの皮,1,,,,
ユクモノオビ,0,0,1,1,99,2,0,2,26,0,0,1,0,0,達人,2,,,,,,,,,ユクモの木,1,鉄鉱石,2,,,,
ロックラックコイル,0,0,1,0,1,1,0,2,26,1,0,0,0,2,運搬,3,耐暑,2,,,,,,,甲虫の腹袋,2,ジャギィの鱗,3,大地の結晶,2,,
ハンターフォールド,0,1,1,1,1,1,0,6,54,0,0,0,0,0,狩人,6,,,,,,,,,ファンゴの毛皮,3,鉄鉱石,1,セッチャクロアリ,1,,
ハンターコート,0,2,1,1,1,1,0,3,27,0,0,0,0,0,狩人,6,,,,,,,,,ファンゴの毛皮,3,鉄鉱石,1,セッチャクロアリ,1,,
ボーンフォールド,0,1,1,2,1,1,0,6,54,0,0,0,-1,0,KO,2,,,,,,,,,獣骨,3,なぞの骨,2,ブランゴの毛,1,,
ボーンコート,0,2,1,2,1,1,0,3,27,0,0,0,-1,0,KO,1,,,,,,,,,獣骨,3,なぞの骨,2,ブランゴの毛,1,,
スキンライトベルト,0,0,1,1,1,1,0,5,29,0,0,0,0,0,睡眠,8,,,,,,,,,暖かい毛皮,2,甲虫の腹袋,3,,,,
アイアンベルト,0,0,1,1,1,1,0,5,29,0,0,3,0,0,対防御DOWN,8,,,,,,,,,鉄鉱石,2,暖かい毛皮,1,ハリマグロ,2,,
ジャギィフォールド,0,1,1,1,1,1,0,6,54,-2,0,0,0,0,攻撃,4,防御,-2,,,,,,,ジャギィの皮,3,ジャギィの鱗,3,竜骨【小】,4,円盤石,2
ジャギィコート,0,2,1,1,1,1,0,3,27,-2,0,0,0,0,攻撃,4,防御,-2,,,,,,,ジャギィの皮,3,ジャギィの鱗,3,竜骨【小】,4,円盤石,2
マッカォフォールド,0,1,1,1,1,1,0,8,56,-2,0,0,0,0,減気攻撃,2,,,,,,,,,マッカォの鱗,4,マッカォの皮,3,キラビートル,3,,
マッカォコート,0,2,1,1,1,1,0,4,28,-2,1,1,1,1,減気攻撃,2,,,,,,,,,マッカォの鱗,4,マッカォの皮,3,キラビートル,3,,
